"","mean","median","MAP","quantile_2.5","quantile_97.5"
"birth_observed[1]",4.10100988888889,4.06006,3.66869784846257,2.97636,5.13129
"birth_observed[2]",5.88528344444444,6.092,6.25298171065277,4.86427,6.71314225
"extinction_observed[1]",0.240832535555556,0.1852115,0.0999489982064526,0.01484992,0.786730524999999
"extinction_observed[2]",0.386748764444444,0.29402,0.13864337943942,0.049131695,1.24378825
"stateSpecificRates[1]",0.452887955555556,0.462221,0.528423079223104,0.213382675,0.690576
"stateSpecificRates[2]",0.653996966666667,0.592408,0.558384515536651,0.333948,1.17446975
"transition_rates[1]",0.325019455555556,0.322111,0.327058757758733,0.131184,0.53763
"transition_rates[2]",0.341584183333333,0.405997,0.44838221864507,0.0885008,0.518937
"birth_hidden[1]",0.332463166666667,0.334246,0.345612632529661,0.240042125,0.394075
"birth_hidden[2]",1.667538,1.66575,1.65436849540908,1.60593,1.75996075
"extinction_hidden[1]",0.929337422222222,0.9588675,0.995006370808749,0.689483,1
"extinction_hidden[2]",1.07066266666667,1.04113,1.00499613636467,1,1.31052
